"Gene","logFC","adj.P.Val"
"MDM2",1.1740263653484,1.52440964109585e-05
"CDKN1A",1.78037062146893,1.52440964109585e-05
"EDA2R",1.17243691148776,1.73063102540997e-05
"FDXR",0.898785687382301,0.000113608817575261
"PTCHD4",1.04081657250471,0.000361888913656148
"ANKRD20A12P",0.930167984934088,0.00137634877133549
"RPS27L",1.03714952919021,0.00155378697819782
"BAX",0.888335969868177,0.00198562955990423
"RRM2B",0.790895668549906,0.00321990604930269
"TMEM5",0.783316007532959,0.00358208352234132
"ZNF878",-0.61608738229755,0.00641448453710588
"DDB2",0.809526177024483,0.00646951280992697
"XPC",0.609035028248591,0.00773318666111557
"ZNF266",-0.800828625235403,0.012894385358641
"GDF15",2.29375216572505,0.015740938904688
"SPATA18",0.81928436911488,0.0191434260481235
"FTCDNL1",0.821380037664784,0.0191434260481235
"SESN1",0.880444444444446,0.0191434260481235
"SNX18P2",0.498621468926557,0.040104638172222
"DCP1B",0.736451977401131,0.040104638172222
"MIR3189",0.785566854990583,0.040104638172222
